Matéria,Código,N_o,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Qtde Vagas Disponíveis,Local
FUNDAMENTOS LÓGICOS DE INTELIGÊNCIA ARTIFICIAL,FCTE0001,01,2025.1,BRUNO CESAR RIBAS (60h),35T45,60,40,20,FCTE - I2
PARADIGMAS DE SOLUÇÃO DE PROBLEMAS,FCTE0002,01,2025.1,EDSON ALVES DA COSTA JUNIOR (60h),35T45,50,50,0,FCTE - LAB SS
COMPILADORES 1,FGA0003,01,2025.1,SERGIO ANTONIO ANDRADE DE FREITAS (60h),24T23,100,100,0,FCTE - S2 / I9
COMPILADORES 1,FGA0003,02,2025.1,FABIO MACEDO MENDES (60h),46T45,110,107,3,FCTE - S3
COMPILADORES 1,FGA0003,03,2025.1,FABIO MACEDO MENDES (60h),46T6 46N1,110,103,7,FCTE - S2
FUNDAMENTOS DE EQUAÇÕES DIFERENCIAIS PARA ENGENHARIA,FGA0006,01,2025.1,VINICIUS DE CARVALHO RISPOLI (60h),25T6 25N1,60,38,22,FCTE - S4
SISTEMAS AEROESPACIAIS,FGA0008,01,2025.1,RONNE TOLEDO (60h),24M34,45,30,15,FCTE - I8 / I2
PROCESSAMENTO DIGITAL DE IMAGENS,FGA0015,01,2025.1,MARCUS VINICIUS CHAFFIM COSTA (60h),46M5 46T1,35,1,34,FCTE - LAB SS
PROJETOS DE CIRCUITOS INTEGRADOS 1,FGA0017,01,2025.1,SANDRO AUGUSTO PAVLIK HADDAD (60h),35T23,35,17,18,FCTE - LDTEA 303 (Terça-Feira) / LAB SS
DINÂMICA DOS MECANISMOS,FGA0023,01,2025.1,RITA DE CASSIA SILVA (60h),35M12,40,6,34,FCTE - I6 / I7
SISTEMAS DE ENERGIA SOLAR E EÓLICA,FGA0025,01,2025.1,JORGE ANDRES CORMANE ANGARITA (60h),24T23,40,7,33,FCTE - I8
ESTRUTURAS DE DADOS 2,FGA0030,01,2025.1,BRUNO CESAR RIBAS (60h),35T23,130,130,0,FCTE - S1
TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,FGA0037,01,2025.1,RAFAEL CASTILHO FARIA MENDES (60h),2M1234,25,22,3,FCTE - LDTEA 302
TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,FGA0037,02,2025.1,WILLIAM REIS SILVA (60h),46T23,25,13,12,FCTE - S8
AERODINÂMICA DE SISTEMAS AEROESPACIAIS,FGA0038,01,2025.1,OLEXIY SHYNKARENKO (75h),35T45 6T4,45,27,18,FCTE - I4
MECÂNICA DE ESTRUTURAS AEROESPACIAIS,FGA0039,01,2025.1,ARTEM ANDRIANOV (75h),2M5 35M12,45,45,0,FCTE - I7 / I4 / S7
SISTEMAS DE CONTROLE AUTOMOTIVO,FGA0040,01,2025.1,RAFAEL RODRIGUES DA SILVA (60h),24M34,16,5,11,FCTE - LAB SHP
DINÂMICA DOS GASES PARA SISTEMAS AEROESPACIAIS,FGA0043,01,2025.1,OLEXIY SHYNKARENKO (60h),35T23,30,18,12,FCTE - S5
MECÂNICA DO VÔO,FGA0045,01,2025.1,"THIAGO FELIPPE KURUDEZ CORDEIRO (30h)
POLLIANA CANDIDA OLIVEIRA MARTINS (30h)",46M34,45,23,22,FCTE - S8
PROCESSOS PETROQUÍMICOS,FGA0047,01,2025.1,ANDREIA ALVES COSTA LINDINGER (60h),35M34,45,7,38,FCTE - I1
MECÂNICA DO VOO ESPACIAL,FGA0048,01,2025.1,WILLIAM REIS SILVA (60h),46M34,45,27,18,FCTE - I5
DINÂMICA DE ESTRUTURAS AEROESPACIAIS,FGA0050,01,2025.1,SERGIO HENRIQUE DA SILVA CARNEIRO (60h),35M34,45,35,10,FCTE - I4
TÓPICOS ESPECIAIS EM PROGRAMAÇÃO,FGA0053,01,2025.1,"MAURICIO SERRANO (30h)
MILENE SERRANO (30h)",2T2345,35,35,0,FCTE - I1
TÓPICOS ESPECIAIS EM GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,FGA0054,01,2025.1,WANDER CLEBER MARIA PEREIRA DA SILVA (60h),35M34,35,35,0,FCTE - I5
TECNOLOGIAS DE FABRICAÇÃO 1,FGA0055,01,2025.1,RHANDER VIANA (60h),35T23,22,22,0,FCTE - S8
TECNOLOGIAS DE FABRICAÇÃO 2,FGA0056,01,2025.1,EDISON GUSTAVO CUEVA GALARRAGA (60h),35M34,20,11,9,FCTE - I8
SISTEMAS DE BANCO DE DADOS 2,FGA0060,01,2025.1,VANDOR ROBERTO VILARDI RISSOLI (60h),35M12,80,70,10,FCTE - MOCAP
SISTEMAS DE BANCO DE DADOS 2,FGA0060,02,2025.1,VANDOR ROBERTO VILARDI RISSOLI (60h),35T23,80,79,1,FCTE - I10
PROJETO DE SISTEMAS DE OBSERVAÇÃO DA TERRA,FGA0062,01,2025.1,RONNE TOLEDO (60h),24T45,45,22,23,FCTE - I8
PROPULSÃO AERONÁUTICA,FGA0063,01,2025.1,RAFAEL CASTILHO FARIA MENDES (60h),46M34,48,14,34,FCTE - I7
TEORIA DE CIRCUITOS ELETRÔNICOS 1,FGA0067,02,2025.1,EULER DE VILHENA GARCIA (60h),35M12,90,30,60,FCTE - S9
TEORIA DE CIRCUITOS ELETRÔNICOS 1,FGA0067,03,2025.1,LUCIANO EMIDIO NEVES DA FONSECA (60h),24T23,90,63,27,FCTE - S9
TEORIA DE CIRCUITOS ELETRÔNICOS 2,FGA0068,01,2025.1,GILMAR SILVA BESERRA (60h),24M12,60,17,43,FCTE - I3/I9
PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,FGA0069,01,2025.1,MARCUS VINICIUS CHAFFIM COSTA (30h),6M12,24,9,15,FCTE - LAB NEI 1
PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,FGA0069,02,2025.1,MARCUS VINICIUS CHAFFIM COSTA (30h),6M34,24,23,1,FCTE - LAB NEI 1
PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,FGA0069,03,2025.1,MARCUS VINICIUS CHAFFIM COSTA (30h),4M34,24,24,0,FCTE - LAB NEI 1
PRÁTICA DE CIRCUITOS ELETRÔNICOS 2,FGA0070,01,2025.1,TIAGO MARTINS DE BRITO (30h),6T23,24,13,11,FCTE - LAB NEI 1
PRÁTICA DE ELETRÔNICA DIGITAL 1,FGA0071,01,2025.1,HENRIQUE MARRA TAIRA MENEGAZ (30h),5T23,16,16,0,FCTE- LAB NEI 2
